link,id (for TG-tracker),last_id,media_type,website,content_type,audience size
https://t.me/rt_russian,rt_russian,x,tv,rt.com,propaganda,105
https://t.me/ntvnews,ntvnews,x,tv,ntv.ru,propaganda,
https://t.me/tvrussia1,tvrussia1,x,tv,#N/A,propaganda,
https://t.me/bbcrussian,bbcrussian,x,web/press,#N/A,altern,
https://t.me/news_1tv,news_1tv,x,tv,1tv.ru,propaganda,
https://t.me/redakciya_channel,redakciya_channel,x,tg - news,,altern,
https://t.me/mediazzzona,mediazzzona,x,web/press,meduza.io,altern,
https://t.me/thebell_io,thebell_io,x,web/press,thebell.io,altern,
https://t.me/rian_ru,rian_ru,x,web/press,ria.ru,propaganda,153
https://t.me/readovkanews,readovkanews,x,tg - news,,propaganda,
https://t.me/novaya_pishet,novaya_pishet,x,web/press,novayagazeta.ru,altern,
https://t.me/rbc_news,rbc_news,x,web/press,rbc.ru,moder,163
https://t.me/zvezdanews,zvezdanews,x,web/press,tvzvezda.ru,propaganda,5
https://t.me/aifonline,aifonline,x,web/press,aif.ru,propaganda,27
https://t.me/BFMnews,BFMnews,x,web/press,bfm.ru,moder,7
https://t.me/fontankaspb,fontankaspb,x,web/press,fontanka.ru,altern,24
https://t.me/forbesrussia,forbesrussia,x,web/press,forbes.ru,moder,8
https://t.me/gazetaru,gazetaru,x,web/press,gazeta.ru,propaganda,60
https://t.me/interfaxonline,interfaxonline,x,web/press,interfax.ru,propaganda,16
https://t.me/izvestia,izvestia,x,web/press,iz.ru,propaganda,33
https://t.me/kommersant,kommersant,x,web/press,kommersant.ru,moder,66
https://t.me/lentadnya,lentadnya,x,web/press,lenta.ru,moder,114
https://t.me/lifenews,lifenews,x,web/press,life.ru,propaganda,25
https://t.me/mk_ru,mk_ru,x,web/press,mk.ru,moder,88
https://t.me/novaya_europe,novaya_europe,x,web/press,novayagazeta.eu,altern,2
https://t.me/radiosvoboda,radiosvoboda,x,web/press,svoboda.org,altern,7
https://t.me/rentv_news,rentv_news,x,tv,ren.tv,propaganda,16
https://t.me/rgrunews,rgrunews,x,web/press,rg.ru,propaganda,36
https://t.me/riafan,riafan,x,web/press,riafan.ru,propaganda,11
https://t.me/rusvesnasu,rusvesnasu,x,web/press,rusvesna.su,propaganda,25
https://t.me/svpressaru,svpressaru,x,web/press,svpressa.ru,propaganda,18
https://t.me/tass_agency,tass_agency,x,web/press,tass.ru,propaganda,35
https://t.me/truekpru,truekpru,x,web/press,kp.ru,propaganda,79
https://t.me/uranews,uranews,x,web/press,ura.news,propaganda,50
https://t.me/vedomosti,vedomosti,,web/press,vedomosti.ru,moder,17
https://t.me/vestiru24,vestiru24,x,web/press,vesti.ru,propaganda,21
https://t.me/tsargradtv,tsargradtv,x,web/press,tsargrad.tv,propaganda,34
https://t.me/sashakots,sashakots,x,tg - pers,,voenkor,
https://t.me/rybar,rybar,x,tg - pers,,voenkor,
https://t.me/voenacher,voenacher,x,tg - pers,,voenkor,
https://t.me/vysokygovorit,vysokygovorit,x,tg - pers,,voenkor,
https://t.me/SolovievLive,SolovievLive,x,tg - pers,,propaganda,
https://t.me/margaritasimonyan,margaritasimonyan,x,tg - pers,,propaganda,
https://t.me/breakingmash,breakingmash,x,tg - news,,moder,
https://t.me/tvc_ru,tvc_ru,!,tv,,propaganda,
