channel_name,last_id,N_new_messages,time
rt_russian,164235.0,2370.0,8.94
ntvnews,116705.0,1104.0,8.88
tvrussia1,19538.0,852.0,1.67
bbcrussian,48798.0,848.0,12.32
news_1tv,22056.0,479.0,2.43
redakciya_channel,21152.0,827.0,2.34
meduzalive,87152.0,1544.0,30.97
mediazzzona,12101.0,11854.0,6.92
thebell_io,23585.0,301.0,5.58
rian_ru,207734.0,1708.0,7.94
readovkanews,61903.0,930.0,6.68
novaya_pishet,41023.0,255.0,6.2
rbc_news,77596.0,1113.0,12.08
zvezdanews,123306.0,1582.0,6.01
aifonline,52411.0,2167.0,9.93
BFMnews,32808.0,579.0,3.26
fontankaspb,41786.0,833.0,4.12
forbesrussia,53822.0,700.0,4.59
gazetaru,17701.0,1011.0,2.03
interfaxonline,33741.0,514.0,4.14
izvestia,135989.0,1508.0,8.52
kommersant,52863.0,768.0,4.2
lentadnya,84585.0,1584.0,6.2
lifenews,98004.0,244.0,7.36
mk_ru,35368.0,1508.0,2.8
novaya_europe,19900.0,913.0,5.92
radiosvoboda,43601.0,901.0,11.59
rentv_news,101468.0,1790.0,5.67
rgrunews,80629.0,1320.0,6.07
riafan,139454.0,1326.0,13.12
rusvesnasu,27048.0,243.0,3.63
svpressaru,20000.0,161.0,3.74
tass_agency,199324.0,2553.0,11.96
truekpru,124717.0,1214.0,11.16
uranews,77603.0,663.0,5.97
vedomosti,34033.0,33503.0,10.43
vestiru24,,,
tsargradtv,,,
sashakots,40743.0,301.0,3.84
rybar,49285.0,661.0,5.0
voenacher,47737.0,872.0,3.41
vysokygovorit,12163.0,161.0,1.11
SolovievLive,192455.0,4165.0,16.48
margaritasimonyan,13079.0,40.0,0.97
breakingmash,45597.0,511.0,3.18
tvc_ru,,,
strelkovii,,,
concordgroup_official,,,
